
###################################################
### Dimensionality Reduction Methods Comparison ###
###################################################

Loading highd (d=128) dataset...
n * d = 1024 * 128
n_clusters = 16
R = 3
n	d	n_clust	test_pr	eval_against	method	k	k/d	vmeas	vmeas_e	time
1024	512	16	kneigh_	gr-truth	usePCA	1	0.00195	0.997	0.00	0.155730	
1024	512	16	kneigh_	baseline	usePCA	1	0.00195	0.984	0.01	0.154762	
1024	512	16	kneigh_	gr-truth	FactAna	50	0.09766	1.000	0.00	0.285296	
1024	512	16	kneigh_	baseline	FactAna	50	0.09766	1.000	0.00	0.307318	
1024	512	16	kneigh_	gr-truth	FactAna	20	0.03906	0.995	0.00	0.165127	
1024	512	16	kneigh_	baseline	FactAna	20	0.03906	0.995	0.00	0.205612	
1024	512	16	kneigh_	gr-truth	FactAna	10	0.01953	1.000	0.00	0.167469	
1024	512	16	kneigh_	baseline	FactAna	10	0.01953	1.000	0.00	0.170570	
1024	512	16	kneigh_	gr-truth	FactAna	5	0.00977	1.000	0.00	0.170424	
1024	512	16	kneigh_	baseline	FactAna	5	0.00977	1.000	0.00	0.168346	
1024	512	16	kneigh_	gr-truth	FactAna	1	0.00195	0.998	0.00	0.165747	
1024	512	16	kneigh_	baseline	FactAna	1	0.00195	0.998	0.00	0.166062	
1024	512	16	kmeans_	gr-truth	-	-	-	1.000	0.00	1.041538	
1024	512	16	kmeans_	gr-truth	Achliop	50	0.09766	1.000	0.00	0.333538	/
1024	512	16	kmeans_	baseline	Achliop	50	0.09766	1.000	0.00	0.300791	/
1024	512	16	kmeans_	gr-truth	Achliop	20	0.03906	1.000	0.00	0.263651	/
1024	512	16	kmeans_	baseline	Achliop	20	0.03906	1.000	0.00	0.265991	/
1024	512	16	kmeans_	gr-truth	Achliop	10	0.01953	1.000	0.00	0.280637	/
1024	512	16	kmeans_	baseline	Achliop	10	0.01953	1.000	0.00	0.247591	/
1024	512	16	kmeans_	gr-truth	Achliop	5	0.00977	1.000	0.00	0.104892	/
1024	512	16	kmeans_	baseline	Achliop	5	0.00977	1.000	0.00	0.125830	/
1024	512	16	kmeans_	gr-truth	Achliop	1	0.00195	0.917	0.04	0.118500	/
1024	512	16	kmeans_	baseline	Achliop	1	0.00195	0.947	0.02	0.085459	/
1024	512	16	kmeans_	gr-truth	FastJLT	50	0.09766	0.968	0.01	0.257954	0.1414213562373095
1024	512	16	kmeans_	baseline	FastJLT	50	0.09766	0.953	0.04	0.236867	0.1414213562373095
1024	512	16	kmeans_	gr-truth	FastJLT	20	0.03906	0.955	0.02	0.211948	0.22360679774997896
1024	512	16	kmeans_	baseline	FastJLT	20	0.03906	0.936	0.05	0.208281	0.22360679774997896
1024	512	16	kmeans_	gr-truth	FastJLT	10	0.01953	0.961	0.02	0.198496	0.31622776601683794
1024	512	16	kmeans_	baseline	FastJLT	10	0.01953	0.931	0.01	0.185661	0.31622776601683794
1024	512	16	kmeans_	gr-truth	FastJLT	5	0.00977	0.958	0.02	0.135538	0.4472135954999579
1024	512	16	kmeans_	baseline	FastJLT	5	0.00977	0.943	0.01	0.133021	0.4472135954999579
1024	512	16	kmeans_	gr-truth	FastJLT	1	0.00195	0.944	0.02	0.123659	1.0
1024	512	16	kmeans_	baseline	FastJLT	1	0.00195	0.939	0.03	0.116517	1.0
1024	512	16	kmeans_	gr-truth	sampDim	50	0.09766	1.000	0.00	0.260298	
1024	512	16	kmeans_	baseline	sampDim	50	0.09766	1.000	0.00	0.302538	
1024	512	16	kmeans_	gr-truth	sampDim	20	0.03906	1.000	0.00	0.318750	
1024	512	16	kmeans_	baseline	sampDim	20	0.03906	1.000	0.00	0.249201	
1024	512	16	kmeans_	gr-truth	sampDim	10	0.01953	1.000	0.00	0.261724	
1024	512	16	kmeans_	baseline	sampDim	10	0.01953	1.000	0.00	0.259886	
1024	512	16	kmeans_	gr-truth	sampDim	5	0.00977	1.000	0.00	0.052099	
1024	512	16	kmeans_	baseline	sampDim	5	0.00977	1.000	0.00	0.039278	
1024	512	16	kmeans_	gr-truth	sampDim	1	0.00195	0.946	0.01	0.039784	
1024	512	16	kmeans_	baseline	sampDim	1	0.00195	0.944	0.02	0.044158	
1024	512	16	kmeans_	gr-truth	HVarDim	50	0.09766	1.000	0.00	0.293767	
1024	512	16	kmeans_	baseline	HVarDim	50	0.09766	1.000	0.00	0.297301	
1024	512	16	kmeans_	gr-truth	HVarDim	20	0.03906	1.000	0.00	0.265284	
1024	512	16	kmeans_	baseline	HVarDim	20	0.03906	1.000	0.00	0.273013	
1024	512	16	kmeans_	gr-truth	HVarDim	10	0.01953	1.000	0.00	0.311150	
1024	512	16	kmeans_	baseline	HVarDim	10	0.01953	1.000	0.00	0.243675	
1024	512	16	kmeans_	gr-truth	HVarDim	5	0.00977	1.000	0.00	0.052435	
1024	512	16	kmeans_	baseline	HVarDim	5	0.00977	1.000	0.00	0.038072	
1024	512	16	kmeans_	gr-truth	HVarDim	1	0.00195	0.930	0.00	0.040395	
1024	512	16	kmeans_	baseline	HVarDim	1	0.00195	0.932	0.01	0.042622	
1024	512	16	kmeans_	gr-truth	usePCA	50	0.09766	1.000	0.00	0.323660	
1024	512	16	kmeans_	baseline	usePCA	50	0.09766	1.000	0.00	0.303611	
1024	512	16	kmeans_	gr-truth	usePCA	20	0.03906	1.000	0.00	0.305636	
1024	512	16	kmeans_	baseline	usePCA	20	0.03906	1.000	0.00	0.278412	
1024	512	16	kmeans_	gr-truth	usePCA	10	0.01953	1.000	0.00	0.256129	
1024	512	16	kmeans_	baseline	usePCA	10	0.01953	1.000	0.00	0.265826	
1024	512	16	kmeans_	gr-truth	usePCA	5	0.00977	1.000	0.00	0.104532	
1024	512	16	kmeans_	baseline	usePCA	5	0.00977	1.000	0.00	0.095672	
1024	512	16	kmeans_	gr-truth	usePCA	1	0.00195	0.996	0.00	0.135540	
1024	512	16	kmeans_	baseline	usePCA	1	0.00195	1.000	0.00	0.130996	
1024	512	16	kmeans_	gr-truth	FactAna	50	0.09766	0.974	0.00	0.353167	
1024	512	16	kmeans_	baseline	FactAna	50	0.09766	0.976	0.00	0.341465	
1024	512	16	kmeans_	gr-truth	FactAna	20	0.03906	0.998	0.00	0.273527	
1024	512	16	kmeans_	baseline	FactAna	20	0.03906	0.998	0.00	0.229378	
1024	512	16	kmeans_	gr-truth	FactAna	10	0.01953	1.000	0.00	0.250912	
1024	512	16	kmeans_	baseline	FactAna	10	0.01953	1.000	0.00	0.301479	
1024	512	16	kmeans_	gr-truth	FactAna	5	0.00977	1.000	0.00	0.113796	
1024	512	16	kmeans_	baseline	FactAna	5	0.00977	1.000	0.00	0.107939	
1024	512	16	kmeans_	gr-truth	FactAna	1	0.00195	0.998	0.00	0.125423	
1024	512	16	kmeans_	baseline	FactAna	1	0.00195	0.998	0.00	0.111464	

Loading highd (d=1024) dataset...
n * d = 1024 * 1024
n_clusters = 16
R = 3
n	d	n_clust	test_pr	eval_against	method	k	k/d	vmeas	vmeas_e	time
1024	1024	16	kneigh_	gr-truth	-	-	-	1.000	0.00	0.168851	
1024	1024	16	kneigh_	gr-truth	Achliop	50	0.04883	1.000	0.00	0.162331	/
1024	1024	16	kneigh_	baseline	Achliop	50	0.04883	1.000	0.00	0.164492	/
1024	1024	16	kneigh_	gr-truth	Achliop	20	0.01953	1.000	0.00	0.165152	/
1024	1024	16	kneigh_	baseline	Achliop	20	0.01953	1.000	0.00	0.165167	/
1024	1024	16	kneigh_	gr-truth	Achliop	10	0.00977	1.000	0.00	0.170780	/
1024	1024	16	kneigh_	baseline	Achliop	10	0.00977	1.000	0.00	0.167368	/
1024	1024	16	kneigh_	gr-truth	Achliop	5	0.00488	1.000	0.00	0.164923	/
1024	1024	16	kneigh_	baseline	Achliop	5	0.00488	1.000	0.00	0.164878	/
1024	1024	16	kneigh_	gr-truth	Achliop	1	0.00098	0.963	0.03	0.165745	/
1024	1024	16	kneigh_	baseline	Achliop	1	0.00098	0.912	0.04	0.165551	/
1024	1024	16	kneigh_	gr-truth	FastJLT	50	0.04883	0.970	0.01	0.155555	0.1414213562373095
1024	1024	16	kneigh_	baseline	FastJLT	50	0.04883	0.906	0.01	0.159766	0.1414213562373095
1024	1024	16	kneigh_	gr-truth	FastJLT	20	0.01953	0.966	0.03	0.164215	0.22360679774997896
1024	1024	16	kneigh_	baseline	FastJLT	20	0.01953	0.955	0.05	0.159256	0.22360679774997896
1024	1024	16	kneigh_	gr-truth	FastJLT	10	0.00977	0.927	0.05	0.154756	0.31622776601683794
1024	1024	16	kneigh_	baseline	FastJLT	10	0.00977	0.926	0.04	0.154397	0.31622776601683794
1024	1024	16	kneigh_	gr-truth	FastJLT	5	0.00488	0.931	0.06	0.152736	0.4472135954999579
1024	1024	16	kneigh_	baseline	FastJLT	5	0.00488	0.953	0.03	0.153556	0.4472135954999579
1024	1024	16	kneigh_	gr-truth	FastJLT	1	0.00098	0.958	0.01	0.153273	1.0
1024	1024	16	kneigh_	baseline	FastJLT	1	0.00098	0.951	0.02	0.154900	1.0
1024	1024	16	kneigh_	gr-truth	sampDim	50	0.04883	1.000	0.00	0.151029	
1024	1024	16	kneigh_	baseline	sampDim	50	0.04883	1.000	0.00	0.132167	
1024	1024	16	kneigh_	gr-truth	sampDim	20	0.01953	1.000	0.00	0.132699	
1024	1024	16	kneigh_	baseline	sampDim	20	0.01953	1.000	0.00	0.151375	
1024	1024	16	kneigh_	gr-truth	sampDim	10	0.00977	1.000	0.00	0.157124	
1024	1024	16	kneigh_	baseline	sampDim	10	0.00977	1.000	0.00	0.157650	
1024	1024	16	kneigh_	gr-truth	sampDim	5	0.00488	1.000	0.00	0.158928	
1024	1024	16	kneigh_	baseline	sampDim	5	0.00488	1.000	0.00	0.148846	
Error! Check the code. The clustering routine used 15 of the 16 available cluster(s).
1024	1024	16	kneigh_	gr-truth	sampDim	1	0.00098	0.968	0.02	0.157240	
1024	1024	16	kneigh_	baseline	sampDim	1	0.00098	0.958	0.02	0.157772	
1024	1024	16	kneigh_	gr-truth	HVarDim	50	0.04883	1.000	0.00	0.156950	
1024	1024	16	kneigh_	baseline	HVarDim	50	0.04883	1.000	0.00	0.141869	
1024	1024	16	kneigh_	gr-truth	HVarDim	20	0.01953	1.000	0.00	0.158085	
1024	1024	16	kneigh_	baseline	HVarDim	20	0.01953	1.000	0.00	0.153793	
1024	1024	16	kneigh_	gr-truth	HVarDim	10	0.00977	1.000	0.00	0.152333	
1024	1024	16	kneigh_	baseline	HVarDim	10	0.00977	1.000	0.00	0.146338	
1024	1024	16	kneigh_	gr-truth	HVarDim	5	0.00488	1.000	0.00	0.157337	
1024	1024	16	kneigh_	baseline	HVarDim	5	0.00488	1.000	0.00	0.156567	
1024	1024	16	kneigh_	gr-truth	HVarDim	1	0.00098	0.974	0.00	0.156832	
1024	1024	16	kneigh_	baseline	HVarDim	1	0.00098	0.974	0.00	0.157387	
1024	1024	16	kneigh_	gr-truth	usePCA	50	0.04883	1.000	0.00	0.147704	
1024	1024	16	kneigh_	baseline	usePCA	50	0.04883	1.000	0.00	0.149302	
1024	1024	16	kneigh_	gr-truth	usePCA	20	0.01953	1.000	0.00	0.149398	
1024	1024	16	kneigh_	baseline	usePCA	20	0.01953	1.000	0.00	0.150860	
1024	1024	16	kneigh_	gr-truth	usePCA	10	0.00977	1.000	0.00	0.148404	
1024	1024	16	kneigh_	baseline	usePCA	10	0.00977	1.000	0.00	0.149026	
1024	1024	16	kneigh_	gr-truth	usePCA	5	0.00488	1.000	0.00	0.148337	
1024	1024	16	kneigh_	baseline	usePCA	5	0.00488	1.000	0.00	0.150253	
1024	1024	16	kneigh_	gr-truth	usePCA	1	0.00098	0.993	0.01	0.148688	
1024	1024	16	kneigh_	baseline	usePCA	1	0.00098	0.992	0.01	0.149630	
1024	1024	16	kneigh_	gr-truth	FactAna	50	0.04883	0.995	0.00	0.270700	
1024	1024	16	kneigh_	baseline	FactAna	50	0.04883	0.995	0.00	0.282617	
1024	1024	16	kneigh_	gr-truth	FactAna	20	0.01953	0.998	0.00	0.239262	
1024	1024	16	kneigh_	baseline	FactAna	20	0.01953	0.998	0.00	0.242598	
1024	1024	16	kneigh_	gr-truth	FactAna	10	0.00977	1.000	0.00	0.170548	
1024	1024	16	kneigh_	baseline	FactAna	10	0.00977	1.000	0.00	0.166524	
1024	1024	16	kneigh_	gr-truth	FactAna	5	0.00488	1.000	0.00	0.169444	
1024	1024	16	kneigh_	baseline	FactAna	5	0.00488	1.000	0.00	0.166057	
1024	1024	16	kneigh_	gr-truth	FactAna	1	0.00098	1.000	0.00	0.165020	
1024	1024	16	kneigh_	baseline	FactAna	1	0.00098	1.000	0.00	0.163846	
1024	1024	16	kmeans_	gr-truth	-	-	-	1.000	0.00	2.186437	
1024	1024	16	kmeans_	gr-truth	Achliop	50	0.04883	1.000	0.00	0.284277	/
1024	1024	16	kmeans_	baseline	Achliop	50	0.04883	1.000	0.00	0.306737	/
1024	1024	16	kmeans_	gr-truth	Achliop	20	0.01953	1.000	0.00	0.288139	/
1024	1024	16	kmeans_	baseline	Achliop	20	0.01953	1.000	0.00	0.294015	/
1024	1024	16	kmeans_	gr-truth	Achliop	10	0.00977	1.000	0.00	0.245293	/
1024	1024	16	kmeans_	baseline	Achliop	10	0.00977	1.000	0.00	0.262597	/
1024	1024	16	kmeans_	gr-truth	Achliop	5	0.00488	1.000	0.00	0.091492	/
1024	1024	16	kmeans_	baseline	Achliop	5	0.00488	1.000	0.00	0.102409	/
1024	1024	16	kmeans_	gr-truth	Achliop	1	0.00098	0.963	0.01	0.081385	/
1024	1024	16	kmeans_	baseline	Achliop	1	0.00098	0.939	0.03	0.094964	/
1024	1024	16	kmeans_	gr-truth	FastJLT	50	0.04883	0.957	0.02	0.229201	0.1414213562373095
1024	1024	16	kmeans_	baseline	FastJLT	50	0.04883	0.953	0.01	0.253305	0.1414213562373095
1024	1024	16	kmeans_	gr-truth	FastJLT	20	0.01953	0.944	0.01	0.181344	0.22360679774997896
1024	1024	16	kmeans_	baseline	FastJLT	20	0.01953	0.973	0.02	0.230489	0.22360679774997896
1024	1024	16	kmeans_	gr-truth	FastJLT	10	0.00977	0.969	0.03	0.196513	0.31622776601683794
1024	1024	16	kmeans_	baseline	FastJLT	10	0.00977	0.981	0.02	0.206413	0.31622776601683794
1024	1024	16	kmeans_	gr-truth	FastJLT	5	0.00488	0.976	0.01	0.117595	0.4472135954999579
1024	1024	16	kmeans_	baseline	FastJLT	5	0.00488	0.974	0.02	0.126311	0.4472135954999579
1024	1024	16	kmeans_	gr-truth	FastJLT	1	0.00098	0.964	0.02	0.119525	1.0
1024	1024	16	kmeans_	baseline	FastJLT	1	0.00098	0.970	0.04	0.126052	1.0
1024	1024	16	kmeans_	gr-truth	sampDim	50	0.04883	1.000	0.00	0.279578	
1024	1024	16	kmeans_	baseline	sampDim	50	0.04883	1.000	0.00	0.310272	
1024	1024	16	kmeans_	gr-truth	sampDim	20	0.01953	1.000	0.00	0.313487	
1024	1024	16	kmeans_	baseline	sampDim	20	0.01953	1.000	0.00	0.328211	
1024	1024	16	kmeans_	gr-truth	sampDim	10	0.00977	1.000	0.00	0.276475	
1024	1024	16	kmeans_	baseline	sampDim	10	0.00977	1.000	0.00	0.274053	
1024	1024	16	kmeans_	gr-truth	sampDim	5	0.00488	1.000	0.00	0.052986	
1024	1024	16	kmeans_	baseline	sampDim	5	0.00488	1.000	0.00	0.036180	
1024	1024	16	kmeans_	gr-truth	sampDim	1	0.00098	0.971	0.01	0.032314	
1024	1024	16	kmeans_	baseline	sampDim	1	0.00098	0.967	0.03	0.031637	
1024	1024	16	kmeans_	gr-truth	HVarDim	50	0.04883	1.000	0.00	0.289927	
1024	1024	16	kmeans_	baseline	HVarDim	50	0.04883	1.000	0.00	0.301523	
1024	1024	16	kmeans_	gr-truth	HVarDim	20	0.01953	1.000	0.00	0.259869	
1024	1024	16	kmeans_	baseline	HVarDim	20	0.01953	1.000	0.00	0.241634	
1024	1024	16	kmeans_	gr-truth	HVarDim	10	0.00977	1.000	0.00	0.274294	
1024	1024	16	kmeans_	baseline	HVarDim	10	0.00977	1.000	0.00	0.230401	
1024	1024	16	kmeans_	gr-truth	HVarDim	5	0.00488	1.000	0.00	0.066533	
1024	1024	16	kmeans_	baseline	HVarDim	5	0.00488	1.000	0.00	0.034289	
1024	1024	16	kmeans_	gr-truth	HVarDim	1	0.00098	0.976	0.00	0.030694	
1024	1024	16	kmeans_	baseline	HVarDim	1	0.00098	0.978	0.00	0.031622	
1024	1024	16	kmeans_	gr-truth	usePCA	50	0.04883	1.000	0.00	0.294747	
1024	1024	16	kmeans_	baseline	usePCA	50	0.04883	1.000	0.00	0.283284	
1024	1024	16	kmeans_	gr-truth	usePCA	20	0.01953	1.000	0.00	0.257743	
1024	1024	16	kmeans_	baseline	usePCA	20	0.01953	1.000	0.00	0.293666	
1024	1024	16	kmeans_	gr-truth	usePCA	10	0.00977	1.000	0.00	0.263555	
1024	1024	16	kmeans_	baseline	usePCA	10	0.00977	1.000	0.00	0.265642	
1024	1024	16	kmeans_	gr-truth	usePCA	5	0.00488	1.000	0.00	0.146430	
1024	1024	16	kmeans_	baseline	usePCA	5	0.00488	1.000	0.00	0.115346	
1024	1024	16	kmeans_	gr-truth	usePCA	1	0.00098	0.992	0.01	0.107291	
1024	1024	16	kmeans_	baseline	usePCA	1	0.00098	0.988	0.02	0.128406	
1024	1024	16	kmeans_	gr-truth	FactAna	50	0.04883	0.956	0.01	0.347834	
1024	1024	16	kmeans_	baseline	FactAna	50	0.04883	0.938	0.02	0.320819	
1024	1024	16	kmeans_	gr-truth	FactAna	20	0.01953	0.999	0.00	0.291025	
1024	1024	16	kmeans_	baseline	FactAna	20	0.01953	0.998	0.00	0.292242	
1024	1024	16	kmeans_	gr-truth	FactAna	10	0.00977	1.000	0.00	0.272035	
1024	1024	16	kmeans_	baseline	FactAna	10	0.00977	1.000	0.00	0.268311	
1024	1024	16	kmeans_	gr-truth	FactAna	5	0.00488	1.000	0.00	0.118652	
1024	1024	16	kmeans_	baseline	FactAna	5	0.00488	1.000	0.00	0.114043	
1024	1024	16	kmeans_	gr-truth	FactAna	1	0.00098	1.000	0.00	0.098883	
1024	1024	16	kmeans_	baseline	FactAna	1	0.00098	1.000	0.00	0.137383	


